fid,ang_connectivity,ang_meandepth,class_connectivity,met_choice,met_choice_1000,met_choice_1250,met_choice_1500,met_choice_1750,met_choice_2000,met_choice_250,met_choice_2500,met_choice_3000,met_choice_500,met_choice_750,met_meandepth,met_meandepth_1000,met_meandepth_1250,met_meandepth_1500,met_meandepth_1750,met_meandepth_2000,met_meandepth_250,met_meandepth_2500,met_meandepth_3000,met_meandepth_500,met_meandepth_750,ang_choice,ang_choice_1000,ang_choice_1250,ang_choice_1500,ang_choice_1750,ang_choice_2000,ang_choice_250,ang_choice_2500,ang_choice_3000,ang_choice_500,ang_choice_750,ang_integration,ang_integration_1000,ang_integration_1250,ang_integration_1500,ang_integration_1750,ang_integration_2000,ang_integration_250,ang_integration_2500,ang_integration_3000,ang_integration_500,ang_integration_750,compteur,type_chemin,type_transport,jeu_7_9,jeu_11_13,jeu_17_19,sam_7_9,sam_11_13,sam_17_19
"458",1.2506982,6.2461123,3,57386,8924,15935,24922,34556,43125,288,54675,56949,1457,4384,1446.5579,651.39551,781.86096,921.39191,1075.424,1208.3975,133.03966,1383.7965,1446.0897,298.66693,483.57321,80468,13036,22754,34749,46647,56434,450,75692,83838,2747,6945,529.33746,158.44604,207.42645,243.97263,289.32437,334.16376,30.734259,438.62943,507.03333,62.920334,109.30629,"00000","1","0",,,,,,
"459",1.0498832,6.2313542,3,61494,9731,17088,26458,36751,45962,310,58508,61057,1642,4871,1434.255,649.59686,781.50287,918.4314,1076.6541,1206.8517,135.86282,1375.8619,1434.255,298.1041,481.76672,105195,16526,28574,42801,57561,69599,491,95996,107441,3453,9046,530.43616,161.91344,198.72092,244.60139,292.25519,338.13391,31.532007,444.15677,510.03354,66.589485,110.80447,"00000","1","0",,,,,,
"460",0.28416103,6.2281361,2,63461,10143,17648,27200,37836,47373,318,60359,63024,1751,5127,1423.8003,646.40851,777.0105,913.88397,1078.5482,1207.4302,137.57481,1369.3472,1423.8003,302.97583,481.44644,107735,16920,28918,43435,58406,70827,484,98168,109878,3558,9313,530.65741,165.49152,197.49977,247.10805,293.93979,343.32742,31.989902,449.08624,512.10394,64.673058,113.035,"00000","1","0",,,,,,
"461",3.5400615,6.0379105,5,65823,10762,18478,28298,39323,49196,347,62612,65386,1898,5497,1415.483,644.9837,776.04236,911.20959,1076.8054,1202.952,139.1188,1362.9548,1415.483,300.91287,481.10162,110307,17398,29363,44167,59376,72141,481,100412,112388,3671,9623,547.19653,171.6676,198.64713,254.3342,300.29907,351.87952,33.534744,462.56851,528.21521,68.112663,117.82703,"00000","1","1",,,,,,
"462",4.0724692,7.2299438,4,4047,1341,1829,2382,2936,3360,165,3900,4047,383,791,1463.8149,652.2381,785.40967,927.18701,1074.3599,1210.5908,137.09918,1396.0393,1463.3436,298.86255,488.79877,20478,3238,5374,7329,9780,11462,197,16968,19696,779,1883,456.49847,127.50043,175.65543,201.93704,241.49049,282.29816,23.970207,371.03445,434.89542,49.215191,85.240707,"00000","1","0",,,,,,
"463",3.0655222,6.6928759,5,182153,14858,24542,36859,53780,74607,389,118788,156558,2519,7738,1419.6948,646.18982,777.65631,915.24957,1079.4226,1204.438,141.53255,1365.6927,1419.6948,302.29791,479.99951,10066,4652,6437,7281,8863,10286,324,11477,11066,1827,3643,493.15338,163.46562,208.96069,248.22427,289.54865,333.99185,27.956942,424.41147,478.79166,64.89856,113.77495,"00000","1","1",,,,,,
"464",0.85126919,6.9816322,2,180030,14386,23916,36047,52603,73044,368,116779,154435,2398,7444,1432.7507,647.47388,781.61816,919.00653,1079.1942,1206.2217,137.48926,1376.2996,1432.7507,304.91812,479.93588,8396,3944,5455,6081,7403,8571,297,9525,9201,1620,3155,472.5535,150.56665,193.43275,232.11548,272.94296,315.23727,25.113375,402.77948,457.1265,58.279663,103.72013,"00000","1","0",,,,,,
"465",0.87787616,7.5292029,2,178357,14116,23560,35585,51840,71951,370,115227,152762,2328,7256,1440.5647,650.43884,782.47308,919.02423,1076.5703,1204.7893,141.23257,1379.8831,1440.0985,305.45621,482.2901,6730,3316,4511,4935,6050,6939,291,7627,7354,1459,2744,437.94748,133.35802,179.07899,211.00749,248.88377,288.99915,22.822865,370.50034,422.09424,52.020626,91.998421,"00000","1","0",,,,,,
"466",0.43062067,7.8411036,2,176736,13896,23262,35183,51148,70934,376,113740,151141,2274,7112,1446.2235,650.68604,782.50879,919.28711,1074.6978,1205.0692,136.6261,1383.4874,1445.7555,304.88446,481.1666,5056,2726,3605,3853,4731,5363,300,5774,5524,1300,2390,420.54025,124.40782,168.84398,200.65628,237.19038,274.99448,21.728737,353.75803,404.77667,48.753349,87.130684,"00000","1","0",,,,,,
"467",0.3818104,7.9441032,2,175137,13708,22986,34816,50483,69953,388,112280,149542,2229,6993,1452.1744,647.39233,781.96527,921.60217,1071.8668,1206.7173,138.52457,1387.4207,1451.7046,300.97186,482.66837,3418,2199,2775,2891,3505,3908,311,3954,3745,1156,2061,415.17584,125.04093,169.52083,200.71736,235.79498,269.86041,20.764874,348.86237,398.76859,46.860416,84.021332,"00000","1","0",,,,,,
"468",0.69170046,8.1731529,2,173681,13586,22788,34553,49954,69129,407,110967,148086,2209,6902,1457.5129,648.93213,780.10614,922.87506,1068.304,1204.6901,132.68929,1390.9767,1457.0408,302.495,484.80545,1848,1788,2087,2086,2412,2563,328,2242,2065,1046,1791,403.47833,120.2793,164.77808,194.67378,229.67932,261.74866,20.164923,336.46677,386.51483,43.82436,79.87825,"00000","1","0",,,,,,
"469",2.4173009,8.4944086,3,172608,13526,22674,34416,49635,68597,432,110035,147013,2209,6841,1462.1364,649.81726,780.3609,922.52747,1065.9368,1204.3676,128.36362,1392.0289,1461.6619,299.49557,487.08383,383,1466,1521,1365,1445,1386,358,688,473,975,1611,388.00098,114.68829,157.59157,188.80087,221.15178,252.50372,20.613262,322.5787,371.26617,42.67078,75.87764,"00000","1","0",,,,,,
"470",3.3066769,5.9261842,5,229235,17465,32952,52402,74540,100822,201,157172,202365,2105,7939,1415.9344,643.57776,776.25537,913.14532,1077.5398,1202.4587,140.56047,1363.3824,1415.9344,299.521,479.32385,135285,23045,39271,58906,77910,95599,149,127707,139489,2688,10787,558.95764,181.12474,216.8728,270.84442,322.06482,359.12363,32.90057,473.07678,539.10297,76.230827,127.05165,"00000","1","1",,,,,,
"471",1.6379116,5.8864093,4,227927,17048,32393,51739,73696,99825,153,155945,201057,2030,7699,1447.1194,646.41449,794.58734,938.04077,1086.8782,1218.8232,162.95793,1383.481,1446.6431,320.33841,480.66718,137787,22940,39339,59229,78373,96450,106,129651,141865,2612,10656,562.67072,186.48538,230.32288,272.11987,329.52029,376.9476,34.229542,491.1171,549.19507,82.932076,130.30463,"00000","1","1",,,,,,
"472",2.6490526,6.3471565,4,13085,3374,4573,5683,7149,8760,123,11623,12905,798,1967,1403.3783,641.90656,789.87421,926.63409,1086.9951,1221.3071,161.48352,1373.5193,1403.3783,327.59521,492.93665,47208,9359,13973,17168,20854,26161,76,44115,53141,1048,3977,521.42511,188.00427,230.07819,285.20334,338.0618,406.30161,16.892784,491.88516,518.78699,62.336761,130.8838,"00000","1","0",,,,,,
"473",0.099066019,6.3038988,2,13797,3479,4633,5779,7360,9151,92,12285,13617,774,2011,1389.6559,640.25769,785.64197,926.89606,1096.1925,1231.0226,173.9151,1367.3629,1389.6559,344.21216,498.40582,48755,9687,14533,18003,21861,27576,44,45929,54829,1035,4146,524.97162,194.63916,240.18451,287.03705,349.2435,421.16144,18.704712,501.83847,522.6568,67.500793,134.2395,"00000","1","0",,,,,,
"474",0.10195808,6.2833943,2,15918,3946,5344,6811,8767,10953,97,14369,15738,849,2257,1349.0748,637.02576,774.74768,924.06073,1086.8572,1220.1874,163.02599,1330.6632,1349.0748,344.02673,500.05994,50333,10195,15343,18999,23279,29379,54,47808,56542,1139,4462,526.54297,202.12489,250.98444,298.54221,365.37454,433.81357,29.19854,507.78204,524.65173,78.774269,145.71126,"00000","1","0",,,,,,
"475",0.10795493,6.2353277,2,18745,4597,6384,8329,10809,13471,138,17173,18565,988,2602,1320.4043,632.56787,766.83936,920.44617,1074.2422,1203.8514,163.46219,1306.0061,1320.4043,338.59433,498.91275,51908,10902,16418,20253,24999,31459,106,49781,58279,1337,4956,530.66882,211.67122,258.94214,307.35092,375.54294,442.74149,35.032104,514.30042,529.00867,84.58979,151.87613,"00000","1","1",,,,,,
"476",2.3201349,6.2055612,4,21730,5410,7604,10060,13049,16178,191,20138,21550,1193,3070,1298.1863,626.23993,759.2619,917.75989,1063.0549,1191.2245,155.08107,1284.9187,1298.1863,335.95041,490.74774,53514,11723,17582,21679,26914,33687,181,51795,60094,1586,5549,532.79559,214.52609,265.91074,314.15244,383.39563,448.95486,40.00362,518.6402,531.1712,89.251854,155.60129,"00000","1","1",,,,,,
"477",3.4347742,6.1336761,6,70041,13656,20992,28748,38491,49337,293,64925,69860,2186,6820,1279.6936,620.34509,760.44592,913.45813,1064.0161,1187.5433,158.58455,1273.1925,1279.6936,327.21848,479.8063,59526,16810,23675,28709,35216,44294,341,59811,66626,2878,9207,538.29761,221.2422,273.29535,326.54453,397.29092,460.3363,45.557384,526.7428,536.76288,90.346588,153.78822,"00000","1","0",,,,,,
"478",2.651195,6.1247263,4,233462,16679,29363,48439,72188,102419,420,159075,205933,2956,8358,1258.0868,616.81543,758.92657,914.20306,1061.7701,1174.6483,157.14922,1253.8379,1258.0868,318.80865,469.87137,31389,8266,12985,16780,21910,28006,517,32879,32496,2882,5017,539.21802,220.51384,278.3869,325.75613,402.39847,463.89053,38.992683,528.05615,537.63684,90.766258,152.22444,"00000","1","0",,,,,,
"479",0.28260699,6.0995855,2,232825,16288,29007,48007,71709,101880,378,158442,205296,2833,8073,1261.6129,620.37573,765.07202,918.31989,1066.3286,1178.2371,160.06573,1256.9399,1261.6129,319.50565,473.78088,33553,8470,13448,17471,23178,29641,453,34896,34592,2774,4997,541.32013,222.87279,278.2363,330.19995,406.01123,467.2951,38.188519,531.39294,539.72217,89.287712,151.59483,"00000","1","0",,,,,,
"480",0.39515391,5.9997373,2,232318,16017,28773,47716,71401,101487,351,157940,204789,2740,7864,1264.3488,624.71454,769.54492,917.36835,1070.7977,1180.087,161.99467,1257.7412,1264.3488,318.38553,477.33911,35801,8790,14044,18281,24557,31365,415,37007,36769,2705,5072,550.30115,225.4259,278.73938,336.96207,411.27869,473.02521,36.226727,538.66577,548.40015,88.946388,150.52771,"00000","1","0",,,,,,
"481",0.3304987,5.907742,2,231969,15882,28675,47618,71270,101253,332,157600,204440,2678,7719,1265.6312,628.04633,771.22479,918.3551,1072.1237,1177.9446,159.11847,1257.064,1265.6312,320.11832,477.33932,38137,9252,14660,19217,26097,33261,397,39218,39046,2686,5272,558.6756,228.89566,281.11618,343.99326,418.38452,480.90652,34.650856,547.24414,556.90063,90.875031,148.75325,"00000","1","0",,,,,,
"482",0.20366383,5.8214917,2,232016,15835,28677,47681,71367,101303,330,157649,204487,2646,7633,1265.3411,630.94122,770.67096,917.97083,1073.4135,1176.532,159.25485,1256.8003,1265.3411,318.10153,479.5361,40533,9801,15347,20256,27735,35256,392,41502,41366,2692,5534,567.02881,233.14098,286.90396,349.77228,426.32349,486.34937,34.603741,554.79248,565.16565,91.19545,153.65434,"00000","1","0",,,,,,
"483",0.29724661,5.7927446,2,232759,15934,28872,48033,71889,101894,344,158388,205230,2664,7661,1259.191,631.84698,773.60529,916.99463,1072.1136,1173.4426,156.936,1253.7433,1259.191,318.43259,482.71161,42950,10415,16117,21345,29464,37333,410,43853,43710,2741,5890,569.78857,237.48402,293.39963,358.51132,430.41718,493.41965,33.098976,556.48871,568.03485,91.255173,157.62691,"00000","1","0",,,,,,
"484",4.9847393,5.6217084,5,234466,16412,29558,49017,73225,103419,377,160090,206937,2790,7933,1245.1132,628.96307,766.6936,912.57965,1067.6478,1165.5906,149.17503,1241.2052,1245.1132,309.19736,480.00143,45488,11259,17158,22798,31484,39717,448,46368,46170,2847,6394,588.63544,248.50659,307.09164,379.96326,451.33279,509.1105,37.345078,577.41528,586.68976,94.955383,172.52263,"00000","1","0",,,,,,
"485",3.533324,6.3678932,5,64733,13163,21016,29781,38877,48785,346,60639,64552,2373,6833,1266.3325,616.48285,755.68713,919.79785,1067.629,1187.9672,163.87733,1264.7991,1266.3325,319.75198,467.45517,48868,15806,21104,26157,30911,37480,341,48228,54983,3633,9742,521.03149,207.72418,253.55495,304.01578,363.83566,427.28375,44.276306,499.37787,519.7403,92.328102,144.73436,"00000","1","0",,,,,,
"486",1.6802251,6.3882966,3,48197,7329,12211,18442,25515,33323,177,44130,48016,1098,3541,1284.0579,611.76117,756.03094,935.25476,1076.5807,1208.9756,161.82236,1283.6965,1284.0579,314.60257,462.87732,41174,9572,13545,18657,24303,30554,188,41403,47348,2305,5818,527.51514,192.17979,235.383,291.49173,351.17932,412.58926,39.782509,500.10501,525.13983,94.808372,141.6369,"00000","1","1",,,,,,
"487",1.35467,6.1718531,3,46771,6793,11430,17403,24266,31859,153,42704,46590,970,3265,1303.8563,613.52985,766.99847,946.37756,1090.5485,1223.3153,155.87392,1303.8563,1303.8563,320.61218,469.047,42408,9209,13187,18509,24616,31270,172,42662,48667,2192,5573,536.84369,170.50655,230.3649,286.52884,354.5191,419.91486,36.592766,513.36871,535.05194,92.670311,137.79379,"00000","1","1",,,,,,
"488",2.6277173,6.0617905,4,116465,7279,13611,21785,32667,46095,153,74762,100044,1211,3444,1443.9784,648.104,801.47534,943.89282,1087.272,1230.2709,165.30516,1387.8077,1442.1097,317.64661,480.27594,49841,10825,18508,26445,29598,32154,106,50845,52790,1411,4498,546.77161,182.80583,237.01773,285.74927,340.41519,405.47278,32.680653,496.86276,539.13635,75.052254,127.55299,"00000","1","0",,,,,,
"489",0.34988642,5.9231668,2,116708,7231,13517,21747,32657,46174,142,74921,100287,1148,3399,1441.1251,649.22113,802.47028,945.04163,1090.6486,1234.1525,160.48152,1391.0538,1440.6554,326.32349,485.18393,51442,11159,19088,27203,30537,33634,102,52765,54566,1348,4587,558.59595,192.47324,251.07516,296.54916,350.86166,419.82285,29.970966,512.69196,552.17773,75.514725,131.7347,"00000","1","0",,,,,,
"490",2.099658,5.9565825,4,70411,9268,15796,23244,30857,40081,252,57644,67409,1373,4230,1458.2285,643.00214,804.5907,950.0495,1084.5852,1236.0111,137.5822,1407.2975,1457.7529,324.08441,490.2861,16550,6099,10108,13568,14541,15814,296,23436,20968,1525,3440,555.03253,208.26172,261.47583,302.09802,355.43259,425.42252,32.765064,512.05225,550.51385,82.068291,138.01595,"00000","1","1",,,,,,
"491",1.7585279,5.8171148,3,71060,9210,15777,23244,30985,40341,224,58198,68058,1292,4157,1456.0103,647.01056,809.07336,953.60974,1085.7008,1239.2385,136.0981,1408.3494,1455.5388,327.49432,492.62888,18029,6205,10521,14064,15348,17016,265,25222,22612,1368,3298,569.01715,207.8224,265.65164,307.36334,360.14719,432.47299,28.836061,525.16345,564.80786,75.778358,134.24071,"00000","1","0",,,,,,
"492",1.2737527,5.573544,3,81910,9294,16661,24580,32995,43471,147,65222,77945,1002,3801,1450.0031,650.6131,808.74359,954.1781,1087.6478,1239.6375,137.79216,1405.2462,1449.5359,330.67892,497.27283,30975,7703,13780,18617,21541,25747,147,37787,35873,1092,3704,594.06781,206.1573,271.64139,319.01321,378.68457,447.5477,26.982578,549.93884,589.8172,71.423355,128.12387,"00000","1","0",,,,,,
"493",0.41426316,5.2902203,2,83061,9321,16793,24797,33394,44110,121,66293,79096,913,3728,1441.0815,657.1593,805.39618,955.73389,1093.5779,1241.8481,140.72014,1401.6123,1440.6193,331.61545,506.9028,33970,8251,14703,19917,23268,28082,119,40751,38920,1050,3890,626.23303,217.67656,286.00082,343.00729,409.05984,479.69525,26.076229,583.836,622.15143,69.809288,134.64207,"00000","1","0",,,,,,
"494",1.3631967,5.2054062,3,84828,9606,17276,25466,34352,45402,112,67995,80863,920,3847,1417.5868,653.03931,798.03638,952.65704,1093.6274,1234.766,142.96901,1386.0039,1417.5868,332.56305,502.48349,37010,8965,15818,21393,25242,30592,109,43803,42020,1087,4206,636.16815,233.82793,292.49252,361.13501,427.33844,497.87521,28.317167,599.56006,632.13214,74.009422,147.71298,"00000","1","0",,,,,,
"495",1.7663326,5.1847434,4,96550,11625,20620,30421,41384,54485,137,79514,92585,1219,4852,1389.8297,649.00592,787.43671,943.1441,1089.7448,1225.5846,146.46811,1362.7063,1389.8297,337.09824,502.702,95484,20707,37113,51754,60636,71071,115,105624,104339,1635,7961,638.66876,251.56361,309.39151,374.70242,443.8389,510.33813,30.401508,607.16058,635.34271,84.16993,160.60336,"00000","1","0",,,,,,
"496",1.1027458,5.1835451,3,131663,15907,28213,42777,59783,78924,157,113928,127698,1628,6677,1356.438,645.26764,780.66522,930.48572,1082.1512,1208.2418,159.31702,1333.0887,1356.438,343.67303,503.71777,101937,22059,39397,54911,64876,76419,121,112037,110995,1748,8467,638.67084,263.08292,323.42081,382.61926,456.05814,523.75842,35.041233,610.80859,635.58453,92.071175,174.05579,"00000","1","0",,,,,,
"497",2.2763758,5.0794296,4,134183,16514,29171,44138,61625,81102,171,116408,130218,1730,6959,1323.8724,641.84821,777.34058,919.1991,1073.6208,1191.5148,164.10767,1303.5756,1323.8724,346.21194,505.03122,105697,22876,40715,56732,67369,79439,136,115634,114723,1885,8841,651.69965,279.93985,337.52518,403.63989,477.61636,547.11682,37.931427,627.16669,649.51471,100.30228,192.01573,"00000","1","0",,,,,,
"498",3.1380682,4.8051553,5,493750,23779,49699,86534,135059,193801,186,319917,420938,1947,8480,1298.3127,641.42169,773.03357,917.58527,1065.3849,1176.7345,157.02805,1281.5726,1298.3127,336.86514,502.94299,709045,35742,77265,132237,195224,266444,170,471482,638261,2239,11098,688.17651,315.18719,375.77695,448.84702,523.38672,593.08545,38.757626,667.63354,686.55902,108.42233,223.12073,"00000","1","0",,,,,,
"499",0.90888011,4.7269773,3,715311,26615,58768,106270,169542,248747,222,427554,586260,2148,9126,1269.3289,640.64661,773.29974,918.29614,1068.3132,1170.6241,149.76158,1260.4519,1269.3289,324.7193,497.03873,1088026,44149,99435,181338,283574,406607,236,724852,978057,3124,13984,699.3811,321.33768,389.71524,470.33328,545.47864,611.7868,41.590324,684.72327,697.76471,113.19637,233.06297,"00000","1","0",,,,,,
"500",2.8909159,4.7213335,5,716875,26999,59354,107074,170632,250113,268,429113,587824,2318,9399,1243.8817,630.51068,766.15155,912.29169,1067.0455,1163.5961,146.64621,1239.5851,1243.8817,310.63754,483.21359,1088850,44337,99666,181566,283911,407125,284,725589,978887,3322,14195,700.23254,315.99896,387.81546,474.056,549.52826,616.49158,45.14109,688.2948,697.914,114.09536,227.17584,"00000","1","0",,,,,,
"501",2.0793293,4.9524746,4,308624,11954,26575,48627,78655,113795,113,187789,253223,969,4047,1321.3917,644.76373,780.65857,919.27173,1072.5039,1189.9241,161.40399,1301.0698,1321.3917,346.68805,508.43695,610883,18998,43771,85244,138759,200212,75,367462,532286,1028,5929,667.68884,268.42523,331.13928,406.63593,479.06573,556.47864,29.133286,640.82397,665.29816,91.759277,180.88588,"00000","1","0",,,,,,
"502",1.7204139,4.9576921,3,306631,11407,25863,47663,77349,112160,78,185836,251230,813,3674,1354.153,655.38782,793.30206,933.3241,1079.1782,1203.2863,152.04536,1330.7244,1354.153,353.88513,517.51123,609972,18532,43400,84941,138309,199548,37,366600,531401,823,5552,667.01141,263.34085,342.60648,403.53137,474.09583,549.87378,27.603395,637.73724,664.18268,90.562981,173.79048,"00000","1","0",,,,,,
"503",3.491163,5.5806379,4,5087,1641,2319,3191,4029,4589,67,5037,5087,382,915,1356.9003,669.35376,800.91479,938.42828,1081.2299,1200.0955,153.77684,1333.5166,1356.9003,353.61304,516.86914,38098,1956,4294,8744,14773,21940,23,39127,46072,181,753,592.60992,236.01256,303.01083,378.2767,444.81284,503.48755,19.676048,572.10938,591.02374,69.311417,146.74193,"00000","1","0",,,,,,
"504",1.1993735,4.8211241,4,305632,11292,25811,47620,77089,111553,71,184887,250231,793,3617,1391.2268,662.91852,804.67645,944.29523,1082.824,1210.4922,143.92786,1363.0166,1391.2268,347.21753,522.02075,646639,20151,47417,93160,152174,220240,50,403917,575979,929,6091,686.06268,268.42514,368.92297,429.61075,500.35095,563.3399,31.572124,654.9057,682.74414,94.015625,185.94388,"00000","1","0",,,,,,
"505",1.2050771,4.8330832,3,302104,10599,24805,46239,75214,109011,59,181501,246703,744,3336,1425.347,676.53961,812.06464,947.48505,1086.771,1216.8724,159.94249,1386.2069,1424.8813,352.47162,523.03827,626708,17845,43310,85804,143069,208513,38,385546,555195,749,5153,684.45233,258.13806,361.69406,416.88873,486.07773,551.53137,29.85778,645.80243,680.21771,93.803352,191.00459,"00000","1","0",,,,,,
"506",0.96139389,4.8703961,3,300692,10423,24527,45811,74590,108074,74,180165,245291,768,3291,1451.9502,681.33948,816.35101,944.4021,1083.5614,1213.6998,154.40686,1402.7532,1451.4771,343.36816,516.58026,624637,17711,43145,85406,142385,207395,47,383664,553117,797,5149,679.26184,263.81015,352.83478,405.60278,471.1113,537.63214,27.464012,634.25122,673.91132,99.120972,188.80977,"00000","1","0",,,,,,
"507",3.0295177,4.9290562,5,271128,7571,18392,36186,61212,90607,96,153630,215766,715,2575,1476.6583,670.21143,814.00934,943.06659,1079.8143,1205.6821,153.8535,1412.3448,1474.7888,330.26758,497.14938,569876,15598,37710,74808,126728,186487,65,347163,506470,919,4551,671.3858,256.07343,339.03745,393.18762,453.78339,518.09717,33.507854,616.18787,665.18365,100.54288,180.95786,"00000","1","0",,,,,,
"508",3.9455829,5.3914838,5,31668,3965,7598,11503,15599,19784,75,28725,31629,435,1439,1466.8746,675.31598,817.4411,955.19769,1083.9553,1207.8523,153.8401,1403.7898,1464.9906,330.37476,504.4194,54617,3853,7641,12437,17325,22065,41,36946,46415,370,1514,612.67572,218.05353,298.56894,358.96738,420.37616,479.56686,23.863626,565.96857,608.16919,73.413681,148.52682,"00000","1","0",,,,,,
"509",4.0138984,5.9504819,5,12576,4382,6469,8519,10393,11623,83,12412,12571,545,2065,1492.833,666.31555,812.5733,954.43195,1085.3545,1203.937,154.6834,1411.6442,1487.2046,324.01196,486.43121,10538,4434,6730,8379,10242,11445,28,11052,10346,408,2058,556.58148,200.9167,272.97192,326.13889,384.95087,431.08206,25.858704,511.59348,547.28217,76.31723,137.67212,"00000","1","0",,,,,,
"510",3.1920021,5.3107281,5,219854,13489,27847,47241,72834,98731,150,147749,193192,1350,5099,1494.3599,662.64929,808.03278,943.18878,1079.55,1198.106,157.7003,1414.7335,1489.6835,320.66083,483.7991,407991,17155,36538,67658,109644,154169,100,248176,330483,1537,6551,622.48572,238.40514,320.40585,373.6048,429.94772,489.42551,41.379829,577.04193,614.91296,107.39072,171.77005,"00000","1","0",,,,,,
"511",3.2633038,5.3133879,6,214468,12794,26298,44645,69031,94042,167,142512,187811,1335,4882,1511.3278,662.89594,808.54089,955.92297,1080.0684,1198.0172,151.91724,1414.3949,1499.203,314.6301,484.71072,412815,18417,38293,71464,115324,161310,144,254037,335174,1699,7048,622.21967,247.42574,322.4603,378.93665,435.07251,488.04633,47.752357,571.42731,611.49658,113.26433,173.54433,"00000","1","0",,,,,,
"512",3.8778186,5.3925061,5,30261,4144,7551,11416,15337,19273,126,27499,30224,578,1679,1485.4294,671.83557,819.18884,963.74323,1088.5293,1200.3546,143.46698,1404.8418,1480.2366,314.66681,491.44833,53881,3676,7179,12181,17096,21932,80,36264,45612,408,1540,612.59534,212.34683,301.25623,364.21362,425.01993,480.23068,24.037046,564.78662,605.53113,68.123344,144.95203,"00000","1","0",,,,,,
"513",3.7691491,5.4209723,6,93630,8408,15391,24611,36288,50878,209,77672,90642,1170,3638,1510.5964,663.78943,812.91895,957.05688,1079.8832,1191.3329,142.01622,1406.1283,1504.5712,310.66949,484.70639,163314,10761,21822,38274,59147,86058,242,134324,163518,1381,4249,610.56506,230.79179,305.38577,371.75467,422.61035,469.09134,39.760258,536.62067,590.7735,93.777939,158.87192,"00000","1","0",,,,,,
"514",2.3739696,5.4059663,4,108532,9117,17381,28591,42313,59062,214,90629,105519,1113,3662,1491.1002,665.03674,819.21802,961.95972,1081.687,1188.6996,134.21321,1400.5442,1487.3787,315.70273,486.17575,163683,9990,20359,36617,57462,84913,185,133653,162955,1105,3641,611.44049,235.58791,313.98969,378.60699,426.90106,475.6337,37.114666,527.50763,591.63501,90.627876,152.70807,"00000","1","0",,,,,,
"515",1.7019159,5.2963386,4,104653,8624,16643,27714,41376,57857,180,87669,101648,956,3333,1488.9707,670.19452,822.28766,966.58136,1082.8075,1189.3085,136.03656,1399.4625,1485.2614,317.18802,486.34415,218492,13107,26689,48360,74329,106941,194,170064,209023,1322,4877,624.59906,239.946,321.04248,387.25162,441.98236,494.46573,38.636185,563.40619,610.47186,94.239319,161.30055,"00000","1","0",,,,,,
"516",1.9639736,5.2901902,4,105864,8609,16352,27477,41363,58257,143,88072,102664,921,3491,1481.7974,675.98431,828.92749,973.26819,1090.0687,1192.5909,146.87288,1396.0081,1479.5022,321.11331,499.82828,221450,12492,25762,48006,74506,108110,104,171580,211028,1188,4494,624.94568,235.93721,320.72729,388.92795,440.24622,488.13748,33.544003,553.43854,606.48969,92.194992,163.01967,"00000","1","0",,,,,,
"517",1.3155353,5.2910576,3,108914,8350,16501,28092,42552,59988,79,90809,105711,746,3229,1446.1807,679.14056,837.21185,970.41504,1085.814,1184.7239,165.95287,1381.3829,1445.2272,339.62244,505.3912,220404,11036,23754,45330,72264,106523,26,170107,209619,768,3637,624.836,233.59439,318.24298,394.42426,449.40479,492.66931,31.282391,561.02527,607.29956,89.409889,161.7934,"00000","1","1",,,,,,
"518",1.8363307,5.2906384,4,111348,8821,17309,29242,44057,61852,71,93166,108145,795,3443,1391.0171,679.80438,825.3349,954.49615,1069.0271,1173.9346,156.97598,1350.7404,1391.0171,337.05286,514.56805,221037,11096,23720,45197,72327,106763,26,170692,210263,827,3739,624.836,230.94522,318.84512,401.48734,460.94678,507.86578,27.190098,564.7265,608.52997,96.268524,168.34769,"00000","1","1",,,,,,
"519",3.304095,5.3473692,5,89512,5333,10633,18386,28806,41843,53,68206,84853,552,2196,1390.7799,689.39801,834.72119,965.62543,1078.3976,1183.3521,180.93347,1350.9948,1390.7799,343.67252,517.50659,158496,10614,20418,33958,52464,75524,6,120231,151488,657,3757,618.17578,216.58475,299.39349,397.00565,465.78207,517.87939,20.521458,567.69836,600.08911,88.461288,149.23143,"00000","1","0",,,,,,
"520",0.8855778,5.3461118,3,94883,7044,13446,22450,33564,46994,120,73585,90224,898,2998,1357.0197,695.7854,843.92322,975.12836,1081.4716,1184.8373,160.92502,1342.4077,1357.0197,311.29459,510.70316,158526,10481,19688,33699,51500,75199,69,120857,151783,729,3616,618.31763,207.70186,288.76443,399.67517,474.70386,529.89471,25.587206,571.11304,599.72858,76.568581,132.4565,"00000","1","0",,,,,,
"521",2.7259498,5.3449125,5,95796,7247,13780,22953,34203,47726,140,74493,91137,936,3100,1350.9208,695.22925,845.48846,970.25177,1081.7706,1178.2449,149.96051,1339.2203,1350.9208,305.38443,514.60114,159051,10656,19681,33840,51435,75484,94,121739,152470,789,3652,618.27972,207.02744,293.41327,399.46405,477.96802,535.052,28.557373,573.15051,600.29688,71.352516,131.51399,"00000","1","0",,,,,,
