fid,ang_connectivity,ang_meandepth,class_connectivity,met_choice,met_choice_1000,met_choice_1250,met_choice_1500,met_choice_1750,met_choice_2000,met_choice_250,met_choice_2500,met_choice_3000,met_choice_500,met_choice_750,met_meandepth,met_meandepth_1000,met_meandepth_1250,met_meandepth_1500,met_meandepth_1750,met_meandepth_2000,met_meandepth_250,met_meandepth_2500,met_meandepth_3000,met_meandepth_500,met_meandepth_750,ang_choice,ang_choice_1000,ang_choice_1250,ang_choice_1500,ang_choice_1750,ang_choice_2000,ang_choice_250,ang_choice_2500,ang_choice_3000,ang_choice_500,ang_choice_750,ang_integration,ang_integration_1000,ang_integration_1250,ang_integration_1500,ang_integration_1750,ang_integration_2000,ang_integration_250,ang_integration_2500,ang_integration_3000,ang_integration_500,ang_integration_750,compteur,type_chemin,type_transport,jeu_7_9,jeu_11_13,jeu_17_19,sam_7_9,sam_11_13,sam_17_19
"2123",0.90221786,9.0373745,2,22817,3041,6009,9880,13019,15883,81,18781,20416,376,1276,2135.7556,672.20142,802.7384,969.39044,1094.0515,1237.1204,118.57758,1549.2069,1773.7168,308.06851,521.93494,1640,2306,2357,2084,2117,1924,98,2006,1958,421,1116,367.04279,87.385345,110.94912,132.95845,153.28705,182.76234,12.7219,247.76041,288.71628,26.317392,53.469025,"00000","0","0",,,,,,
"2124",2.0591364,9.2263603,3,24310,3241,6307,10276,13505,16506,101,19684,21559,427,1401,2125.3447,668.14478,804.24847,965.05084,1093.1075,1239.2843,124.05882,1547.0189,1768.4995,302.87515,522.29395,527,2515,2611,2298,2249,1777,128,1401,956,487,1269,359.44058,89.308052,112.0746,133.82773,152.37869,180.53937,13.691139,240.45357,281.40039,26.647602,56.242264,"00000","0","0",,,,,,
"2125",2.9909744,9.0276222,4,45309,4607,8335,13332,19008,24053,118,33194,38274,613,1968,2136.6089,668.63,803.69073,967.51923,1096.7971,1239.9561,118.86914,1549.8075,1773.994,299.26105,515.03723,3143,3857,3870,4484,4962,4201,150,4874,3648,789,2226,367.6261,91.515282,117.41187,146.10208,156.9032,183.91789,17.535313,236.44133,284.27661,31.349361,60.09267,"00000","0","0",,,,,,
"2126",0.86780947,8.0063114,3,8873,1086,1852,2615,3355,4125,23,5996,7914,145,477,2120.269,705.18414,884.1853,990.5921,1124.8179,1284.1748,165.26346,1665.8977,1938.942,321.21515,535.50604,3944,850,1487,1870,2304,2525,4,3136,4108,106,320,412.3223,91.545952,129.12927,161.84389,183.6423,205.9601,15.97227,266.27466,340.74365,26.021484,50.149082,"00000","0","0",,,,,,
"2127",0.74401426,8.0008688,3,8403,1188,1899,2655,3386,4225,28,5958,7614,177,525,2132.1619,709.91797,849.79742,988.03143,1118.5007,1295.3008,127.12184,1653.6812,1931.0708,334.81253,506.13437,5216,868,1560,1921,2435,2759,8,3716,5057,127,373,412.59467,95.024101,130.97823,165.8154,190.85257,214.46414,17.977785,278.78738,345.31668,31.969824,55.076756,"00000","0","0",,,,,,
"2128",2.2220621,8.0390291,3,3287,364,641,816,1049,1342,15,2245,2917,66,202,2099.4541,695.69897,889.13556,997.93719,1136.0599,1289.7607,119.07803,1676.089,1931.0718,312.44305,544.90442,1446,827,1372,1757,2069,2151,6,2413,2688,80,265,411.00571,90.672401,131.85918,156.64647,181.06129,206.74493,9.5487051,258.20963,331.4111,23.348871,57.778717,"00000","0","0",,,,,,
"2129",3.1142797,8.2644339,5,36438,3845,7473,11742,15766,20154,45,28792,34644,404,1500,1825.0354,676.48669,784.92322,915.2359,1078.4261,1280.4056,142.77449,1598.2253,1741.9039,329.89313,520.30188,5588,3494,4763,5025,5079,5521,16,7090,7924,400,1631,400.05826,136.99753,161.55685,187.79182,213.0696,244.38245,15.979265,324.6922,373.68817,50.154411,79.729492,"00000","0","0",,,,,,
"2130",3.2163136,8.2706738,5,18608,2584,4723,6996,8787,10773,39,15088,17918,290,1087,1846.8184,676.12091,786.81494,918.0318,1075.6804,1266.517,166.23929,1582.9321,1741.3009,344.62354,536.526,5059,2034,3401,4188,4407,4805,10,5154,5883,197,933,399.76328,128.46658,167.06166,191.59488,216.09123,246.94684,14.210804,313.81372,368.84662,47.120026,81.343887,"00000","0","0",,,,,,
"2131",2.6920211,7.5744009,4,32882,4649,7553,10665,13440,15993,55,21318,29672,590,2118,1870.2704,629.17273,773.45746,904.85754,1083.7263,1265.4501,156.02841,1568.6041,1752.6782,342.79913,511.32974,14440,1774,2401,3402,4140,5531,26,8745,11993,428,1308,435.80783,130.40666,161.60251,191.76614,221.89328,254.38205,18.325506,330.54068,390.87405,51.192791,88.378883,"00000","0","0",,,,,,
"2132",3.9847946,8.5013876,4,4785,799,1091,1395,1836,2420,34,3645,4413,177,500,1916.683,647.70776,785.32678,912.98846,1085.7325,1279.9636,144.02243,1598.6237,1788.0846,335.43457,521.87573,1,20,28,20,11,27,7,35,42,9,15,388.00809,99.877975,122.88505,149.3763,171.39043,206.81,12.414831,279.2634,334.53098,34.283432,62.465065,"00000","0","0",,,,,,
